# Observation File: surface-outlet.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-component_concentration
# Region: surface outlet
# Reduction: point
# Variable: surface-total_component_concentration
# Number of Vectors: 6
# =============================================================================
"time [s]" "surface-component_concentration DOM1" "surface-component_concentration O2(aq)" "surface-component_concentration NO3-" "surface-component_concentration HCO3-" "surface-component_concentration H+" "surface-component_concentration N2(aq)"
2.580000000000e+03 8.076980611651e-05 2.288630115594e-04 1.790381940121e-06 2.644075677107e-05 2.181432950733e-05 2.377190805661e-02
2.600000000000e+03 8.061317486089e-05 2.285830143047e-04 1.788888120587e-06 2.650807370734e-05 2.188549785964e-05 2.375210488211e-02
2.620000000000e+03 8.045654241567e-05 2.283027481634e-04 1.787391068094e-06 2.657519799800e-05 2.195648192868e-05 2.373225873695e-02
2.640000000000e+03 8.029991994853e-05 2.280222425236e-04 1.785891002956e-06 2.664213167202e-05 2.202728317473e-05 2.371237254596e-02
2.660000000000e+03 8.014332077489e-05 2.277415324508e-04 1.784388188164e-06 2.670887716611e-05 2.209790335559e-05 2.369244980056e-02
2.680000000000e+03 7.998676032058e-05 2.274606585872e-04 1.782882928621e-06 2.677543731596e-05 2.216834451973e-05 2.367249454854e-02
2.700000000000e+03 7.983025606990e-05 2.271796670115e-04 1.781375570075e-06 2.684181534457e-05 2.223860899746e-05 2.365251138001e-02
2.720000000000e+03 7.967382750019e-05 2.268986090641e-04 1.779866497796e-06 2.690801484805e-05 2.230869939007e-05 2.363250540969e-02
2.740000000000e+03 7.951749600422e-05 2.266175411388e-04 1.778356134995e-06 2.697403977899e-05 2.237861855733e-05 2.361248225606e-02
2.760000000000e+03 7.936128480197e-05 2.263365244476e-04 1.776844941048e-06 2.703989442778e-05 2.244836960337e-05 2.359244801768e-02
2.780000000000e+03 7.920521884319e-05 2.260556247599e-04 1.775333409520e-06 2.710558340215e-05 2.251795586135e-05 2.357240924700e-02
2.800000000000e+03 7.904932470246e-05 2.257749121226e-04 1.773822066053e-06 2.717111160527e-05 2.258738087695e-05 2.355237292232e-02
2.820000000000e+03 7.889363046821e-05 2.254944605642e-04 1.772311466122e-06 2.723648421271e-05 2.265664839121e-05 2.353234641802e-02
2.840000000000e+03 7.873816562755e-05 2.252143477875e-04 1.770802192721e-06 2.730170664856e-05 2.272576232256e-05 2.351233747375e-02
2.860000000000e+03 7.858296094829e-05 2.249346548549e-04 1.769294853981e-06 2.736678456111e-05 2.279472674868e-05 2.349235416292e-02
2.880000000000e+03 7.842804835980e-05 2.246554658712e-04 1.767790080770e-06 2.743172379826e-05 2.286354588810e-05 2.347240486079e-02
2.900000000000e+03 7.827346083424e-05 2.243768676668e-04 1.766288524308e-06 2.749653038314e-05 2.293222408197e-05 2.345249821276e-02
2.920000000000e+03 7.811923226945e-05 2.240989494855e-04 1.764790853801e-06 2.756121049002e-05 2.300076577609e-05 2.343264310306e-02
2.940000000000e+03 7.796539737487e-05 2.238218026809e-04 1.763297754153e-06 2.762577042086e-05 2.306917550340e-05 2.341284862428e-02
2.960000000000e+03 7.781199156172e-05 2.235455204234e-04 1.761809923751e-06 2.769021658286e-05 2.313745786717e-05 2.339312404798e-02
2.980000000000e+03 7.765905083831e-05 2.232701974217e-04 1.760328072358e-06 2.775455546692e-05 2.320561752497e-05 2.337347879680e-02
3.000000000000e+03 7.750661171167e-05 2.229959296601e-04 1.758852919136e-06 2.781879362749e-05 2.327365917364e-05 2.335392241810e-02
3.020000000000e+03 7.735471109601e-05 2.227228141551e-04 1.757385190803e-06 2.788293766381e-05 2.334158753523e-05 2.333446455957e-02
3.040000000000e+03 7.720338622894e-05 2.224509487319e-04 1.755925619944e-06 2.794699420272e-05 2.340940734417e-05 2.331511494676e-02
3.060000000000e+03 7.705267459564e-05 2.221804318225e-04 1.754474943489e-06 2.801096988308e-05 2.347712333570e-05 2.329588336291e-02
3.080000000000e+03 7.690261386168e-05 2.219113622866e-04 1.753033901356e-06 2.807487134197e-05 2.354474023552e-05 2.327677963092e-02
3.100000000000e+03 7.675324181449e-05 2.216438392554e-04 1.751603235277e-06 2.813870520267e-05 2.361226275081e-05 2.325781359773e-02
3.120000000000e+03 7.660459631362e-05 2.213779619992e-04 1.750183687790e-06 2.820247806444e-05 2.367969556257e-05 2.323899512103e-02
3.140000000000e+03 7.645671524996e-05 2.211138298186e-04 1.748776001426e-06 2.826619649404e-05 2.374704331937e-05 2.322033405834e-02
3.160000000000e+03 7.630963651359e-05 2.208515419589e-04 1.747380918050e-06 2.832986701917e-05 2.381431063233e-05 2.320184025838e-02
3.180000000000e+03 7.616339797013e-05 2.205911975465e-04 1.745999178395e-06 2.839349612351e-05 2.388150207150e-05 2.318352355481e-02
3.200000000000e+03 7.601803744538e-05 2.203328955486e-04 1.744631521743e-06 2.845709024355e-05 2.394862216344e-05 2.316539376200e-02
3.220000000000e+03 7.587359271766e-05 2.200767347521e-04 1.743278685774e-06 2.852065576697e-05 2.401567538999e-05 2.314746067308e-02
3.240000000000e+03 7.573010151765e-05 2.198228137634e-04 1.741941406563e-06 2.858419903257e-05 2.408266618827e-05 2.312973405982e-02
3.260000000000e+03 7.558760153500e-05 2.195712310260e-04 1.740620418710e-06 2.864772633165e-05 2.414959895166e-05 2.311222367442e-02
3.280000000000e+03 7.544613043142e-05 2.193220848551e-04 1.739316455604e-06 2.871124391064e-05 2.421647803178e-05 2.309493925299e-02
3.300000000000e+03 7.530572585938e-05 2.190754734877e-04 1.738030249800e-06 2.877475797503e-05 2.428330774146e-05 2.307789052054e-02
3.320000000000e+03 7.516642548609e-05 2.188314951465e-04 1.736762533502e-06 2.883827469433e-05 2.435009235841e-05 2.306108719745e-02
3.340000000000e+03 7.502826702202e-05 2.185902481160e-04 1.735514039138e-06 2.890180020801e-05 2.441683612972e-05 2.304453900703e-02
3.360000000000e+03 7.489128825334e-05 2.183518308291e-04 1.734285500019e-06 2.896534063234e-05 2.448354327699e-05 2.302825568428e-02
3.380000000000e+03 7.475552707771e-05 2.181163419627e-04 1.733077651055e-06 2.902890206788e-05 2.455021800195e-05 2.301224698547e-02
3.400000000000e+03 7.462102154289e-05 2.178838805408e-04 1.731891229543e-06 2.909249060765e-05 2.461686449263e-05 2.299652269850e-02
3.420000000000e+03 7.448780988736e-05 2.176545460433e-04 1.730726975982e-06 2.915611234581e-05 2.468348692989e-05 2.298109265384e-02
3.440000000000e+03 7.435593058273e-05 2.174284385195e-04 1.729585634942e-06 2.921977338664e-05 2.475008949421e-05 2.296596673588e-02
3.460000000000e+03 7.422542237709e-05 2.172056587039e-04 1.728467955931e-06 2.928347985388e-05 2.481667637276e-05 2.295115489469e-02
3.480000000000e+03 7.409632433897e-05 2.169863081341e-04 1.727374694300e-06 2.934723790025e-05 2.488325176659e-05 2.293666715778e-02
3.500000000000e+03 7.396867590150e-05 2.167704892693e-04 1.726306612130e-06 2.941105371701e-05 2.494981989790e-05 2.292251364208e-02
3.520000000000e+03 7.384251690606e-05 2.165583056073e-04 1.725264479127e-06 2.947493354358e-05 2.501638501734e-05 2.290870456571e-02
3.540000000000e+03 7.371788764540e-05 2.163498618007e-04 1.724249073500e-06 2.953888367703e-05 2.508295141125e-05 2.289525025967e-02
3.560000000000e+03 7.359482890559e-05 2.161452637689e-04 1.723261182816e-06 2.960291048143e-05 2.514952340881e-05 2.288216117916e-02
3.580000000000e+03 7.347338200653e-05 2.159446188081e-04 1.722301604830e-06 2.966702039704e-05 2.521610538904e-05 2.286944791466e-02
